Name;Value / Preis;Jobbeschreibung;Funktion / Bonus
Mark De Man;10M;Defensive Midfield Coach;+1 Midfield
Lastic Tackle;20M;Defensive Coach;+2 Defence
Chuck Long;10M;Throw-In Coach;+1 Attack
Agil Itty;10M;Physio;+1 Defence
Tobanks O’Four;40M;Defensive Coach;+3 Defence
Line Upread;40M;Data Analyst;Captain Boost +3
Will Lowbawl;10M;Negotiator;5M Discount on Deadline Day
Hugh Gloves;10M;Goalkeeper Coach;+1 Defence
Goldi Gerr;20M;Super Agent;+1 Player Appeal
Jet Zetter;30M;Scout;+1 Scout Card
Sally Recut;40M;Chief HR Officer;Half Wages
Lev Ellip;50M;Head of Academy;+1 Star to newly signed talents
Mae Khit;30M;Youth Coach;+1 Player Development
Roi Surge;20M;Business Developer;+15M every season
Dwight Price;30M;Commercial Director;+20M every season
N. Ginear;25M;Chief Planning Officer;+1 Investment Action
Mira Cleure;20M;Physio;Injured Player back for next game
Mimic Shearer;50M;Social Media Specialist;+1 Statuslevel, Stadium Income, Player Appeal
Tara D. Sessions;20M;Sports Psychologist;+3 Physique
Tippy Tawway;40M;Sports Psychologist;Wenn ein Match oder eine Simulation unentschieden endet: 8 oder höher würfeln, um zu gewinnen
Upon A. Wel;30M;Youth Coach;+1 Player Development
Bill Bendjmin;100M;Major Shareholder;+50M every season
Alfie Ness;40M;Technical Coach;+3 Midfield
Colly Flowers;40M;Nutritionist;+1 every third
Chris Crossower;10M;Technical Coach;+1 Midfield
Ellie Captian;20M;Leadership Coach;Captain Boost +1
Kip Das Veres;80M;Chief Scout;+2 Scout Cards
Lacy Strike;20M;Set Piece Coach;+2 Attack
B. Friend;60M;Kit Man;Double Chemistry
T. Kitaka;40M;Offensive Coach;+3 Attack
Finn Isher;10M;Striker Coach;+1 Attack
