Prestige Stufe;Sponsorname;Aufgabe;Laufzeit;Belohnung;Text
neu aufgestiegen;Bockwurt Behrens;Gewinne mindestens ein Spiel in der Saison;1 Saison;10 mio+;Der lokale Imbiss glaubt an euch. Oder zumindest daran, dass nach Niederlagen mehr gegessen wird.
neu aufgestiegen;Autohaus Rumpel;Beende die Saison nicht als Lettzer (Gesamt Taabelle mit CPU);1 Saison;15mio + ;Das Autohaus stellt euch einen mannschaftsbus- Leider richt er nach Kupplung und die Rùcksitze sind ausgbeaut, aber er fùhrt. Meistens.
neu aufgestiegen;Nadidos Basic Deal;Verpflichte nicht mehr als einen neuen Spieler (Scouting + Deadline Day);1 Saison;1 extra Trainingseinheit;Nadidos liefert neue Trikots (Rùcklùufer aus der Vorsaison). Die Anzahl ist jedoch begrenzt.
neu aufgestiegen;Dorfsparkasse Kreditprogramm;Spare nach Abnlauf der Off-Season mindestens 40mio Budget;1 Saison;30 mio +;Die lokale Sparkasse is beeindruckt von eurem Finanzwesen. Konkret: Die Oma eures linken Verteidigers zùhlt nach dem Spiel die Einnahmen.
neu aufgestiegen;FuPa TV ;Gewinne mindestens 6 Drittel in einer Saison;1 Saison;Statuslevel +1 bei Abrechnung;Ein Fan hat eure schùnsten Tore mit seinem Handy gefilmt. Das zugehùrige Youtube Video hat mehr Klicks, als das letzte Entschuldigungsvideo von Rainer Winkler.
neu aufgestiegen;Amt fùr Denkmalschutz;Baue das Stadion fùr Saisons nicht aus;3 Saisons;Stadionneubau (Stufe 3) + Statuslevel +1 fùr eine Saison;Das stùdische Amt fùr Denkmalschutz mùchte die Kriegsùberreste die ihr Stadion nennt erhalten. Als Dank fùr eure Instandhaltung baut die Stadt eine neue Arena.
Etabliert;Nadidos Performance Programm;Entwickle in 2 auffeinanderfolgenden Jahren mindestens einen Spieler um +2 ;2 Saisons;Potential eines Spielers +1 (Gesamtsterne);Nadidos will junge, talentierte Spieler fùrdern. Der Zeugwart meldet sich und fragt, ob mit 29 Jahren noch als junges Talent zùhlz.
Etabliert;Global Energy Drink;Erziele in der Saison mindestens 3 Siege;1 Saison;30 Mio+;Der Sponsor verspricht Flùgel. Der Mannscahftsarzt bittet daurm, die Dosen nicht vor dem Spiel zu trinken.
Etabliert;Transfermarkt.de;Verkaufe 2 Saisons keinen Spieler;2 Saisons;Nach Ablauf der Frist + 2 Scouting Karten fùr eine Saison;"Der Sponsor liebt Kontinuitùt. Der Trainer nennt es ""Ich muss mit dem Arbeiten was da ist!"""
Etabliert;Kinoy.To;Keine Simulation endet unentschieden;1 Saison;30 Mio +;Deine Spiele werden live verfilmt auf einer Leinwand im Kolosseum. Es gibt immer einen Gewinner.
Etabliert;Tipicolo;Beende 2 Saisons ohne Sieg;2 Saisons;Kostenloser Mitarbeiter;Die Buchmacher verdienen sich eine goldene Nase mit eurem Team. Wenn das mal zu keinem Skandal fùhrt.
Mittlerer Tabellenplatz;Nadidos Elite;Hol in 2 Saisons in Folge mehr Siege als Niederlagen;2 Saisons;50mio + 1 Extra Spieler Scout;Nadidos  mùchte keine Versager im Team. Streng dich an, dann wirst du belohnt.
Mittlerer Tabellenplatz;Academy First;Verpflichte in 2  Saisons keinen Spieler mit einem Wert ùber 40 Mio (Markt Value);2 Saisons;2 Spieler erhalten + 1 Potential;Der neue Sponsor glaubt an die Jugend. Der Trainer glaubt an fertige Spieler. Einer von beiden muss nachgeben.
Mittlerer Tabellenplatz;IronWall Insurance;Verliere nicht mehr als 2 Spiele;1 Saison;Temporùrer Bonus : Defence +1 fùr eine Saison;Die Versicherung liebt stabile Abwerhreien. Grùtschen im Strafraum sind laut Kleingedrucktem ausgeschlossen.
Mittlerer Tabellenplatz;Vereinsheim24;Halte dein Budget am Saisonende ùber 50 Mio;1 Saison;40 Mio extra;Der Sponsor liebt solide Finanzen. Der Schatzmeister nennt es ùendlich mal kein Herzrasen beim Kontoauszugù.
Mittlerer Tabellenplatz;;;;;
Titelanwùrter;Nadidos World Class;Gewinne 2 Saisons in Folge die Liga (Erster Platz);2 Saisons;100 Mio + 1 Extra Stern fùr Spieler auf Potential;Nadidos plant bereits die Meisterkollektion. Leider steht auf den Shiorts schon Champions. Kein Druck.
Titelanwùrter;MegaStream  Global;Gegen echte Manager: keine Niederlage in dieser Saison;1 Saison;Einnahmen +50 mio;"Der Sponsor will internationale Reichweite. Der Vorstand googelt vorschichtshalber schonmal ""Weltverein""."
Titelanwùrter;Future Stars Foundation; ;2 Saisons;1 Spieler + 1 Potential und 1 Spieler direkt auf Max level;"Du stellst deine Trainingsanlagen zur Verfùgung, kannst diese aber nicht mehr selbst nutzen. Als Ausgleich erhùltst du Geheiminformationen fùr ""spezielle"" Trainingsmethoden."
Titelanwùrter;Royal Arena Group;Baue das Stadion auf das max level aus;1 Saison;Stadium Income verdoppelt;Die VIP's wollen Ledersitze, Sushi und einen neuen Haarschnitt. Das Spiel kann man ja auch abends in der Sportschau anschauen.
Titelanwùrter;;;;;
