Art;Name;Effekt
Good News;Farmers Club;1 Level Scouting for free
Good News;Ausländisches Investment;50 Mio in die Kasse
Good News;Talent Durchbruch;Ein Talentstern für einen Beliebeigen Spieler hinzufüpgen
Good News; Neuer Trikotsponsor;30 Mio ion die Kasse
Good News;Zusätzlichjes Investemen;40 Mio in die Kasse
Good News;Olympische Spiele;Stadion wird olympisch - gain 1 stadium level for free
Good News;Neue VIP Lounge;20 Mio in die Kasse
Good News;Player Walk In;Du bekommst einen Spieler angeboten - Kostenloser Spieler ziehen (wie scouting) und möglichkeit ksotenlos unter vertrag zu nehmen
Good News;Talent Durchbruch;Ein Talentstern für einen Beliebeigen Spieler hinzufüpgen
Good News;Neue Jugendakademie;Ein Level Training for free
Good News;Namensrechte der Tribüne;10 Mio in die Kasse
Good News;Manager of the year;Kostenloser Mitarbeiter Draw + kostenloses signing
Good News;;
Good News;;
Good News;;
Good News;;
Good News;;
Good News;;
Good News;;
Bad News;Gambling problems;ein Mittelfeldspieler war in der Spielo - Entzug fällt für den rest der saison aus (wie verletzung)
Bad News;Zu lang im Club;der beste mittefeldspieler ist verkatert und fällt für das nächste spiel aus
Bad News;Platzstzurm beim Heimspiel;10 mio werden abgezogenm
Bad News;lebensmittelfergifftung ;rechter stürmer fällt aus für das nbächste spiel
Bad News;rote karte für trainer;keine änderung in der aufstellung mögölich für das nächste spiel
Bad News;Gemeinde Rückzahlung;Dem Club geht es gut - An die Stadt wird 15 mio gezahlt ,als 15 mio minus
Bad News;Magen-Darm;Rechter mittelfeld spioeler fällt das nächste spiel aus
Bad News;Dusch unfall;rechter verteidgier ist in der dusche ausgeruitscth - verletzt für ein spiuel
Bad News;illgealer jugendtransfer;20 mio strafe bezahlen - in dieser off season kein scouting und kein transfer, dafür doppelte anzahl an trainingseinheiten
Bad News;rote karte für trainer;keine änderung in der aufstellung mögölich für das nächste spiel
Bad News;Taktikfehler;für das nächste spiel wurde sich vercoacht - minus 2 im defense
Bad News;länderspiel pause;linker stürmer wurde nominiert - fehlt für das nächjste spiel
Bad News;big head / grösus;der zuletzt trainierte spieler wurde etwas faul - er verliert einen stern
Bad News;zuschauer kommen nicht mehr;Schlechte kalukaation, minus 30 mio wegen mangeleder zuschauer
Bad News;big head / grösus;der zuletzt trainierte spieler wurde etwas faul - er verliert einen stern
Bad News;sicherheitslücke im konnzept;sicherheitsstandards im stadion mangelhaft - nur diese saison einkommen aus dem stadion = stufe 1
Bad News;gehirnerscdhütterung;random mittelfeldspieler fällt das nächste spiel aus
Bad News;schlägerei am spielfeldrand;alle key staff members waren in der schlägerei - für das nächste spiel fallen alle boni weg
Bad News;financial foul play;30mio stafe zahlen
Bad News;neuer dünger für das stadion;10 miuo bezahlen damit der rasen grün bleibt
Bad News;steuerhinterziehung - falsche angaben;du muss spieler im wert von 4 stärkepunkten entlassen - keine ausgleichzahlung
Bad News;mario kart unfall;dein linker verteidiger ist auf einer bananenschale ausgerutscht - fällt ein spiel aus
Bad News;Platzwunde - Sprung gegen pfosten;dein keeper ist im training gegen den pfosten gesprungen - platzwunde fällt eiomn spiel aus
Bad News;schlägerei am spielfeldrand;alle key staff members waren in der schlägerei - für das nächste spiel fallen alle boni weg
